======================================================================
Python [14881]: 64-bit    Footprint: 7885 MB (16384 bytes per page)
======================================================================

  Dirty      Clean  Reclaimable    Regions    Category
    ---        ---          ---        ---    ---
7253 MB        0 B          0 B       1151    IOAccelerator (graphics)
 246 MB        0 B          0 B         37    Malloc Large
 199 MB        0 B          0 B         97    Malloc Small
 173 MB        0 B          0 B        196    Untagged
4390 KB        0 B          0 B          1    page table
3040 KB      64 KB          0 B        401    __DATA_CONST
2432 KB        0 B          0 B         13    Malloc Metadata
2269 KB        0 B          0 B        412    __DATA
 640 KB        0 B          0 B         46    Stack
 430 KB        0 B          0 B        288    __DATA_DIRTY
 304 KB        0 B          0 B          1    Malloc Tiny
 304 KB        0 B          0 B          7    IOAccelerator
 161 KB        0 B          0 B        984    unused dyld shared cache area
 160 KB        0 B          0 B          1    Deferred Reclaim
 128 KB        0 B          0 B          1    Dispatch Continuations
 118 KB        0 B          0 B        170    __AUTH
 112 KB        0 B          0 B          4    __TPRO_CONST
  80 KB        0 B          0 B          5    IOKit
  64 KB        0 B          0 B          1    Dyld Private Memory
  47 KB        0 B          0 B          1    __OBJC_RW
  32 KB        0 B          0 B          1    Activity Tracing
  16 KB        0 B          0 B          1    OS Alloc Once
    0 B    3904 KB          0 B        467    __TEXT
    0 B    1984 KB          0 B         12    mapped file
    0 B        0 B          0 B          1    __CTF
    0 B        0 B          0 B        330    __AUTH_CONST
    0 B        0 B          0 B          1    __FONT_DATA
    0 B        0 B          0 B          1    IOSurface
    0 B        0 B          0 B          1    __OBJC_RO
    0 B        0 B          0 B         76    __LINKEDIT
    ---        ---          ---        ---    ---
7885 MB    5952 KB          0 B       4710    TOTAL

Auxiliary data:
    phys_footprint: 7885 MB
    phys_footprint_peak: 8225 MB

