              disk0               disk4               disk6               disk7 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
  161.81 1319 208.38     5.44    0  0.00    13.04    0  0.00     4.49    5  0.02 
  247.40 3652 882.46     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  310.46 3943 1195.54     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  122.25 7004 836.15     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   19.14 10947 204.64     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   19.43 10382 197.03     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   18.77 9949 182.33     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  169.04 1337 220.66     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  164.12 1738 278.55     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  126.62 2824 349.15     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  199.37  917 178.46     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  208.94 1360 277.47     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   59.48  280 16.25     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  102.13 2659 265.14     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  133.96 2439 319.09     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  346.89 1175 398.15     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  500.79  924 452.09     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  484.82  767 363.07     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  338.00  427 140.97     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   60.03  890 52.19     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
              disk0               disk4               disk6               disk7 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
  211.20 2037 420.20     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   46.42 11393 516.47     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   64.50 12304 774.95     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  444.64 1194 518.29     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  129.36 3242 409.57     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  104.40 2063 210.37     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   31.76 2270 70.40     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  189.10 1954 360.77     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  562.95  443 243.62     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  341.61 1403 468.10     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  269.67 1914 504.15     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  317.28 1888 584.86     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   28.48 2063 57.36     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   19.43 2723 51.67     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  385.93 1569 591.33     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  193.40 1344 253.87     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  148.57 2451 355.65     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  196.13 3352 641.94     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  671.01  790 517.35     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   38.15 1814 67.59     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
              disk0               disk4               disk6               disk7 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
   54.81  808 43.27     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  246.00 2032 488.26     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  155.20 1620 245.50     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  487.68 1116 531.70     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  404.97 1540 609.14     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  355.10 1463 507.20     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  184.98  782 141.34     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  148.07  257 37.14     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  529.78  546 282.43     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  653.80  597 381.27     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  325.71 1841 585.69     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
