              disk0               disk4               disk6               disk7 
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s 
  151.01 1381 203.68     5.42    0  0.00    12.64    0  0.00     4.50    4  0.02 
   24.55  644 15.44     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   18.96 1039 19.24     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   20.62 2345 47.20     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   24.13 1335 31.46     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   24.20  639 15.11     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   63.75 4861 302.65     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   91.79 4374 392.05     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   83.13 4892 397.14     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  109.55 3348 358.16     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
  102.51 3544 354.81     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   62.46 6028 367.64     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
   48.31 6466 305.06     0.00    0  0.00     0.00    0  0.00     0.00    0  0.00 
