              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  125.25 1039 127.12     5.18    0  0.00    13.06    0  0.00  18 11 71  2.57 1.79 1.55
   19.58 3860 73.80     0.00    0  0.00     0.00    0  0.00  25 10 65  2.57 1.79 1.55
   38.85  736 27.92     0.00    0  0.00     0.00    0  0.00  32 10 58  2.57 1.79 1.55
   85.37 3085 257.16     0.00    0  0.00     0.00    0  0.00  20 12 69  2.61 1.81 1.56
   80.28 4341 340.31     0.00    0  0.00     0.00    0  0.00  14  9 77  2.61 1.81 1.56
  162.25 7912 1253.64     0.00    0  0.00     0.00    0  0.00  15 22 63  2.61 1.81 1.56
  174.29 9659 1644.00     0.00    0  0.00     0.00    0  0.00  11 20 69  2.61 1.81 1.56
  208.64 8231 1677.15     0.00    0  0.00     0.00    0  0.00  10 19 71  2.61 1.81 1.56
  206.81 7760 1567.30     0.00    0  0.00     0.00    0  0.00  12 20 68  2.88 1.88 1.59
  225.78 7844 1729.45     0.00    0  0.00     0.00    0  0.00  10 18 72  2.88 1.88 1.59
  172.77 5809 980.04     0.00    0  0.00     0.00    0  0.00  10 16 74  2.88 1.88 1.59
  191.11 5760 1075.02     0.00    0  0.00     0.00    0  0.00   9  9 82  2.88 1.88 1.59
  159.51 5361 835.01     0.00    0  0.00     0.00    0  0.00  10  8 82  2.88 1.88 1.59
  153.78 4568 685.94     0.00    0  0.00     0.00    0  0.00  11  9 80  2.81 1.88 1.59
  160.60 4091 641.55     0.00    0  0.00     0.00    0  0.00   9  8 83  2.81 1.88 1.59
  169.35 4968 821.57     0.00    0  0.00     0.00    0  0.00  10  9 81  2.81 1.88 1.59
  143.17 5244 733.19     0.00    0  0.00     0.00    0  0.00   9 10 81  2.81 1.88 1.59
  160.60 5207 816.66     0.00    0  0.00     0.00    0  0.00  11 11 78  2.81 1.88 1.59
  166.68 4759 774.69     0.00    0  0.00     0.00    0  0.00   8  7 84  2.82 1.90 1.60
  153.95 3746 563.20     0.00    0  0.00     0.00    0  0.00  11 10 79  2.82 1.90 1.60
              disk0               disk4               disk6       cpu    load average
    KB/t  tps  MB/s     KB/t  tps  MB/s     KB/t  tps  MB/s  us sy id   1m   5m   15m
  145.82 3750 534.04     0.00    0  0.00     0.00    0  0.00  10 11 80  2.82 1.90 1.60
  140.90 4881 671.66     0.00    0  0.00     0.00    0  0.00  12 10 78  2.82 1.90 1.60
  163.12 2755 438.91     0.00    0  0.00     0.00    0  0.00  11  7 82  2.82 1.90 1.60
   77.45 7799 589.95     0.00    0  0.00     0.00    0  0.00  10 10 79  2.76 1.90 1.60
  165.04 3395 547.19     0.00    0  0.00     0.00    0  0.00   9  8 83  2.76 1.90 1.60
  143.03 5754 803.64     0.00    0  0.00     0.00    0  0.00  11 11 77  2.76 1.90 1.60
  131.01 6420 821.33     0.00    0  0.00     0.00    0  0.00   9 11 81  2.76 1.90 1.60
  162.87 3587 570.47     0.00    0  0.00     0.00    0  0.00  12  8 80  2.76 1.90 1.60
  150.43 3140 461.24     0.00    0  0.00     0.00    0  0.00  13  8 79  2.94 1.95 1.62
  177.34 3978 688.95     0.00    0  0.00     0.00    0  0.00  13  9 79  2.94 1.95 1.62
  154.18 4138 623.10     0.00    0  0.00     0.00    0  0.00  12  8 80  2.94 1.95 1.62
  157.80 3687 568.20     0.00    0  0.00     0.00    0  0.00  16  9 75  2.94 1.95 1.62
  161.33 5431 855.58     0.00    0  0.00     0.00    0  0.00  16 10 74  2.94 1.95 1.62
