0.00.030.688 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.032.569 W srv  llama_server: -----------------
0.00.032.571 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.032.571 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.032.571 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.032.571 W srv  llama_server: -----------------
0.00.034.404 I srv    load_model: loading model '/Users/<user>/HermesProjects/Local-LLM-Lab/results/raw/EXP-020-bonsai2/models/Ternary-Bonsai-2-27B-PTQ1_0.gguf'
0.04.237.264 I cmn          init: llama threadpool init, n_threads = 4
0.05.947.848 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.05.963.407 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.05.963.420 I srv  llama_server: model loaded
0.05.963.422 I srv  llama_server: listening on http://127.0.0.1:8920
0.21.837.830 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.21.838.504 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.27.291.413 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    241, progress = 0.57, t =   5.45 s / 44.20 tokens per second
0.30.882.866 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    352, progress = 0.84, t =   9.04 s / 38.92 tokens per second
0.32.686.246 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    416, progress = 0.99, t =  10.85 s / 38.35 tokens per second
0.37.033.441 I slot print_timing: id  0 | task 0 | prompt eval time =   13468.36 ms /   420 tokens (   32.07 ms per token,    31.18 tokens per second)
0.37.033.449 I slot print_timing: id  0 | task 0 |        eval time =    1726.43 ms /    12 tokens (  156.95 ms per token,     6.37 tokens per second)
0.37.033.449 I slot print_timing: id  0 | task 0 |       total time =   15194.79 ms /   432 tokens
0.37.033.450 I slot print_timing: id  0 | task 0 |    graphs reused =         12
0.37.034.015 I slot      release: id  0 | task 0 | stop processing: n_tokens = 431, truncated = 0
0.37.034.041 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 48283308565
0.37.277.963 I slot launch_slot_: id  0 | task 2 | processing task, is_child = 0
0.42.694.584 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =    256, progress = 0.02, t =   5.42 s / 47.26 tokens per second
0.46.276.120 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =    384, progress = 0.03, t =   9.00 s / 42.68 tokens per second
0.49.856.481 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =    512, progress = 0.05, t =  12.58 s / 40.70 tokens per second
0.53.424.531 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =    640, progress = 0.06, t =  16.15 s / 39.64 tokens per second
0.56.949.949 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =    768, progress = 0.07, t =  19.67 s / 39.04 tokens per second
1.00.253.543 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =    896, progress = 0.08, t =  22.98 s / 39.00 tokens per second
1.03.812.058 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1024, progress = 0.09, t =  26.53 s / 38.59 tokens per second
1.07.406.480 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1152, progress = 0.10, t =  30.13 s / 38.24 tokens per second
1.10.992.620 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1280, progress = 0.11, t =  33.71 s / 37.97 tokens per second
1.14.577.936 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1408, progress = 0.13, t =  37.30 s / 37.75 tokens per second
1.18.207.662 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1536, progress = 0.14, t =  40.93 s / 37.53 tokens per second
1.21.795.843 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1664, progress = 0.15, t =  44.52 s / 37.38 tokens per second
1.25.397.596 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1792, progress = 0.16, t =  48.12 s / 37.24 tokens per second
1.28.637.840 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1920, progress = 0.17, t =  51.36 s / 37.38 tokens per second
