0.00.076.109 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.076.384 W srv  llama_server: -----------------
0.00.076.386 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.076.386 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.076.386 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.076.386 W srv  llama_server: -----------------
0.00.078.311 I srv    load_model: loading model '/Users/<user>/HermesProjects/Local-LLM-Lab/results/raw/EXP-020-bonsai2/models/Ternary-Bonsai-2-27B-PTQ1_0.gguf'
0.01.051.269 I cmn          init: llama threadpool init, n_threads = 4
0.02.214.817 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.02.219.024 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.219.030 I srv  llama_server: model loaded
0.02.219.031 I srv  llama_server: listening on http://127.0.0.1:8920
0.22.356.870 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.22.356.914 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.28.218.950 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    298, progress = 0.02, t =   5.86 s / 50.84 tokens per second
0.31.133.026 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    426, progress = 0.02, t =   8.78 s / 48.54 tokens per second
0.34.047.808 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    554, progress = 0.03, t =  11.69 s / 47.39 tokens per second
0.36.957.573 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    682, progress = 0.04, t =  14.60 s / 46.71 tokens per second
0.39.875.061 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    810, progress = 0.04, t =  17.52 s / 46.24 tokens per second
0.42.788.517 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    938, progress = 0.05, t =  20.43 s / 45.91 tokens per second
0.45.715.349 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1066, progress = 0.06, t =  23.36 s / 45.64 tokens per second
0.48.649.271 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1194, progress = 0.07, t =  26.29 s / 45.41 tokens per second
0.51.586.161 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1322, progress = 0.07, t =  29.23 s / 45.23 tokens per second
0.54.527.878 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1450, progress = 0.08, t =  32.17 s / 45.07 tokens per second
