0.00.083.006 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.083.712 W srv  llama_server: -----------------
0.00.083.713 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.083.713 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.083.713 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.083.714 W srv  llama_server: -----------------
0.00.085.965 I srv    load_model: loading model '/Users/<user>/HermesProjects/Local-LLM-Lab/results/raw/EXP-020-bonsai2/models/Ternary-Bonsai-2-27B-PTQ1_0.gguf'
0.01.067.401 I cmn          init: llama threadpool init, n_threads = 4
0.02.678.081 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.02.682.560 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.02.682.568 I srv  llama_server: model loaded
0.02.682.570 I srv  llama_server: listening on http://127.0.0.1:8920
0.19.257.755 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.19.258.218 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.23.913.519 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    231, progress = 0.77, t =   4.66 s / 49.62 tokens per second
0.25.375.598 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    241, progress = 0.81, t =   6.12 s / 39.40 tokens per second
0.26.128.711 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =    295, progress = 0.99, t =   6.87 s / 42.94 tokens per second
0.29.683.360 I slot print_timing: id  0 | task 0 | prompt eval time =    8956.66 ms /   299 tokens (   29.96 ms per token,    33.38 tokens per second)
0.29.683.362 I slot print_timing: id  0 | task 0 |        eval time =    1468.34 ms /    13 tokens (  122.36 ms per token,     8.17 tokens per second)
0.29.683.372 I slot print_timing: id  0 | task 0 |       total time =   10424.99 ms /   312 tokens
0.29.683.373 I slot print_timing: id  0 | task 0 |    graphs reused =         13
0.29.683.601 I slot      release: id  0 | task 0 | stop processing: n_tokens = 311, truncated = 0
0.29.683.615 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 19955705699
0.29.899.880 I slot launch_slot_: id  0 | task 2 | processing task, is_child = 0
0.34.287.778 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =    256, progress = 0.02, t =   4.39 s / 58.34 tokens per second
0.37.202.474 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =    384, progress = 0.03, t =   7.30 s / 52.58 tokens per second
0.40.122.048 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =    512, progress = 0.05, t =  10.22 s / 50.09 tokens per second
0.43.047.955 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =    640, progress = 0.06, t =  13.15 s / 48.68 tokens per second
0.45.973.122 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =    768, progress = 0.07, t =  16.07 s / 47.78 tokens per second
0.48.907.116 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =    896, progress = 0.08, t =  19.01 s / 47.14 tokens per second
0.51.840.345 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1024, progress = 0.09, t =  21.94 s / 46.67 tokens per second
0.54.785.302 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1152, progress = 0.10, t =  24.89 s / 46.29 tokens per second
0.57.728.314 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1280, progress = 0.12, t =  27.83 s / 46.00 tokens per second
1.00.666.659 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1408, progress = 0.13, t =  30.77 s / 45.76 tokens per second
1.03.610.824 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1536, progress = 0.14, t =  33.71 s / 45.56 tokens per second
1.06.552.425 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1664, progress = 0.15, t =  36.65 s / 45.40 tokens per second
1.09.503.633 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1792, progress = 0.16, t =  39.60 s / 45.25 tokens per second
1.12.461.071 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1920, progress = 0.17, t =  42.56 s / 45.11 tokens per second
1.15.423.028 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2048, progress = 0.18, t =  45.52 s / 44.99 tokens per second
1.18.389.155 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2176, progress = 0.20, t =  48.49 s / 44.88 tokens per second
1.21.359.331 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2304, progress = 0.21, t =  51.46 s / 44.77 tokens per second
1.24.335.705 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2432, progress = 0.22, t =  54.44 s / 44.68 tokens per second
1.27.314.367 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2560, progress = 0.23, t =  57.41 s / 44.59 tokens per second
1.30.294.977 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2688, progress = 0.24, t =  60.40 s / 44.51 tokens per second
1.33.280.711 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2816, progress = 0.25, t =  63.38 s / 44.43 tokens per second
1.36.263.739 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2944, progress = 0.27, t =  66.36 s / 44.36 tokens per second
1.39.246.692 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3072, progress = 0.28, t =  69.35 s / 44.30 tokens per second
1.42.240.365 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3200, progress = 0.29, t =  72.34 s / 44.24 tokens per second
1.45.231.333 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3328, progress = 0.30, t =  75.33 s / 44.18 tokens per second
1.48.229.541 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3456, progress = 0.31, t =  78.33 s / 44.12 tokens per second
1.51.228.752 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3584, progress = 0.32, t =  81.33 s / 44.07 tokens per second
1.54.239.335 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3712, progress = 0.33, t =  84.34 s / 44.01 tokens per second
1.57.251.928 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3840, progress = 0.35, t =  87.35 s / 43.96 tokens per second
2.00.265.868 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3968, progress = 0.36, t =  90.37 s / 43.91 tokens per second
2.03.279.703 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   4096, progress = 0.37, t =  93.38 s / 43.86 tokens per second
2.06.303.263 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   4224, progress = 0.38, t =  96.40 s / 43.82 tokens per second
2.09.331.004 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   4352, progress = 0.39, t =  99.43 s / 43.77 tokens per second
2.12.363.752 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   4480, progress = 0.40, t = 102.46 s / 43.72 tokens per second
