0.00.056.013 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.056.177 W srv  llama_server: -----------------
0.00.056.178 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.056.178 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.056.178 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.056.179 W srv  llama_server: -----------------
0.00.057.756 I srv    load_model: loading model 'models/minicpm/MiniCPM5-2B-Q4_K_M.gguf'
0.00.365.853 I cmn          init: llama threadpool init, n_threads = 4
0.00.413.490 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.00.416.133 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.00.416.140 I srv  llama_server: model loaded
0.00.416.143 I srv  llama_server: listening on http://127.0.0.1:8921
1.20.060.764 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
1.20.060.824 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
1.20.158.719 I slot print_timing: id  3 | task 0 | prompt eval time =      77.52 ms /    25 tokens (    3.10 ms per token,   322.50 tokens per second)
1.20.158.722 I slot print_timing: id  3 | task 0 |        eval time =      20.35 ms /     2 tokens (   20.35 ms per token,    49.14 tokens per second)
1.20.158.722 I slot print_timing: id  3 | task 0 |       total time =      97.87 ms /    27 tokens
1.20.158.723 I slot print_timing: id  3 | task 0 |    graphs reused =          0
1.20.158.742 I slot      release: id  3 | task 0 | stop processing: n_tokens = 26, truncated = 0
1.20.161.932 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = -1
1.20.162.051 I slot launch_slot_: id  2 | task 3 | processing task, is_child = 0
1.20.898.829 I slot print_timing: id  2 | task 3 | prompt eval time =     457.81 ms /   281 tokens (    1.63 ms per token,   613.79 tokens per second)
1.20.898.834 I slot print_timing: id  2 | task 3 |        eval time =     278.76 ms /    15 tokens (   19.91 ms per token,    50.22 tokens per second)
1.20.898.835 I slot print_timing: id  2 | task 3 |       total time =     736.57 ms /   296 tokens
1.20.898.836 I slot print_timing: id  2 | task 3 |    graphs reused =         13
1.20.898.954 I slot      release: id  2 | task 3 | stop processing: n_tokens = 295, truncated = 0
1.20.905.051 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.909 (> 0.100 thold), f_keep = 0.878
1.20.905.283 I slot launch_slot_: id  2 | task 19 | processing task, is_child = 0
1.21.254.162 I slot print_timing: id  2 | task 19 | prompt eval time =      69.88 ms /    26 tokens (    2.69 ms per token,   372.06 tokens per second)
1.21.254.167 I slot print_timing: id  2 | task 19 |        eval time =     278.95 ms /    15 tokens (   19.92 ms per token,    50.19 tokens per second)
1.21.254.167 I slot print_timing: id  2 | task 19 |       total time =     348.83 ms /    41 tokens
1.21.254.168 I slot print_timing: id  2 | task 19 |    graphs reused =         26
1.21.254.222 I slot      release: id  2 | task 19 | stop processing: n_tokens = 299, truncated = 0
1.21.260.236 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.912 (> 0.100 thold), f_keep = 0.866
1.21.260.501 I slot launch_slot_: id  2 | task 35 | processing task, is_child = 0
1.21.763.886 I slot print_timing: id  2 | task 35 | prompt eval time =      69.58 ms /    25 tokens (    2.78 ms per token,   359.28 tokens per second)
1.21.763.893 I slot print_timing: id  2 | task 35 |        eval time =     433.75 ms /    23 tokens (   19.72 ms per token,    50.72 tokens per second)
1.21.763.893 I slot print_timing: id  2 | task 35 |       total time =     503.33 ms /    48 tokens
1.21.763.894 I slot print_timing: id  2 | task 35 |    graphs reused =         47
1.21.763.969 I slot      release: id  2 | task 35 | stop processing: n_tokens = 306, truncated = 0
1.21.769.961 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.918 (> 0.100 thold), f_keep = 0.846
1.21.770.203 I slot launch_slot_: id  2 | task 59 | processing task, is_child = 0
1.22.255.507 I slot print_timing: id  2 | task 59 | prompt eval time =      69.57 ms /    23 tokens (    3.02 ms per token,   330.62 tokens per second)
1.22.255.511 I slot print_timing: id  2 | task 59 |        eval time =     415.68 ms /    22 tokens (   19.79 ms per token,    50.52 tokens per second)
1.22.255.513 I slot print_timing: id  2 | task 59 |       total time =     485.25 ms /    45 tokens
1.22.255.514 I slot print_timing: id  2 | task 59 |    graphs reused =         67
1.22.255.567 I slot      release: id  2 | task 59 | stop processing: n_tokens = 303, truncated = 0
1.22.258.284 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
1.22.258.427 I slot launch_slot_: id  1 | task 82 | processing task, is_child = 0
1.24.384.323 I slot print_timing: id  1 | task 82 | prompt eval time =      69.90 ms /    29 tokens (    2.41 ms per token,   414.90 tokens per second)
1.24.384.326 I slot print_timing: id  1 | task 82 |        eval time =    2052.63 ms /   105 tokens (   19.74 ms per token,    50.67 tokens per second)
1.24.384.327 I slot print_timing: id  1 | task 82 |       total time =    2122.53 ms /   134 tokens
1.24.384.327 I slot print_timing: id  1 | task 82 |    graphs reused =        170
1.24.384.345 I slot      release: id  1 | task 82 | stop processing: n_tokens = 133, truncated = 0
1.24.387.518 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.24.388.533 I slot launch_slot_: id  0 | task 188 | processing task, is_child = 0
1.24.784.095 I slot print_timing: id  0 | task 188 | prompt eval time =      68.97 ms /    23 tokens (    3.00 ms per token,   333.46 tokens per second)
1.24.784.099 I slot print_timing: id  0 | task 188 |        eval time =     325.75 ms /    18 tokens (   19.16 ms per token,    52.19 tokens per second)
1.24.784.100 I slot print_timing: id  0 | task 188 |       total time =     394.72 ms /    41 tokens
